LATIN;Prose;Poetry;Medieval;Total
solacium;5;10;14;29
superior;22;0;7;29
suspendo;4;13;12;29
ter;1;22;6;29
unicus;2;11;16;29
velum;2;19;8;29
vertex;3;22;4;29
vilis;3;13;13;29
ara;3;24;1;28
bis;1;22;5;28
caedo;8;11;9;28
classis;12;13;3;28
consuetudo;19;0;9;28
consumo;9;7;12;28
detraho;15;10;3;28
en;2;18;8;28
fas;5;21;2;28
festino;3;4;21;28
frux;2;22;4;28
illuc;3;11;14;28
insidiae;16;8;4;28
levo;1;20;7;28
liberalis;15;1;12;28
Lyra;0;21;7;28
niveus;0;27;1;28
numero;6;18;4;28
palatium;4;3;21;28
pertineo;20;1;7;28
Phrygius;1;27;0;28
porrigo;3;9;16;28
posco;9;13;6;28
praeparo;6;1;21;28
proicio;5;7;16;28
proles;2;23;3;28
spiro;2;23;3;28
studiosus;14;3;11;28
terror;11;11;6;28
thalamus;0;25;3;28
uter, pro.;16;2;10;28
verber;4;15;9;28
vincio;7;19;2;28
adicio;16;5;6;27
antrum;0;23;4;27
asto;6;10;11;27
aula;1;15;11;27
cavus;3;24;0;27
censeo;8;17;2;27
circumdo;11;9;7;27
clericus;0;0;27;27
cogitatio;19;2;6;27
corona;3;18;6;27
corrumpo;20;4;3;27
cultus, n.;10;15;2;27
cupidus;5;18;4;27
damno;8;14;5;27
diabolus;0;0;27;27
dubito;11;8;8;27
fateor;5;14;8;27
foveo;3;14;10;27
fruor;4;17;6;27
ictus;6;12;9;27
infra;8;8;11;27
nondum;9;14;4;27
noto;5;18;4;27
oleum;3;3;21;27
opprimo;12;8;7;27
pedes;14;3;10;27
penetro;4;17;6;27
percipio;7;4;16;27
persona;7;0;20;27
purpureus;0;25;2;27
remitto;10;9;8;27
senectus, n.;13;7;7;27
septem;4;10;13;27
sino;6;14;7;27
statuo;14;6;7;27
tenuis;5;19;3;27
torqueo;3;15;9;27
tueor;15;9;3;27
tumulus;4;17;6;27
vehemens;14;1;12;27
viginti;8;0;19;27
volvo;3;18;6;27
accendo;2;10;14;26
admiror;6;0;20;26
adulescens;18;2;6;26
agricola;11;15;0;26
anulus;3;2;21;26
avidus;2;20;4;26
clementia;17;3;6;26
desiderium;8;4;14;26
effundo;6;15;5;26
ferox;8;12;6;26
fulgeo;2;21;3;26
grex;2;22;2;26
Hannibal;21;4;1;26
incido (fall);10;5;11;26
interdum;10;11;5;26
lavo;4;11;11;26
mel;0;11;15;26
militia;4;15;7;26
modo;8;11;7;26
monumentum;9;12;5;26
nympha;0;26;0;26
obicio;11;4;11;26
obliviscor;7;12;7;26
odium;11;6;9;26
pecus, -udis;4;21;1;26
polus;0;24;2;26
praesidium;17;5;4;26
resido;2;8;16;26
sagitta;1;18;7;26
salvus;8;5;13;26
serpens;2;9;15;26
significo;12;7;7;26
simulo;3;9;14;26
sufficio;5;6;15;26
tracto;5;9;12;26
traicio;21;4;1;26
tumultus;9;11;6;26
turbo, v.;5;12;9;26
vado;5;8;13;26
vadum;4;22;0;26
vendo;9;6;11;26
vireo;1;22;3;26
aedifico;6;1;18;25
aliter;8;7;10;25
assuetus;7;12;6;25
bracchium;4;13;8;25
caro;1;0;24;25
carpo;1;19;5;25
certamen;10;9;6;25
civilis;10;7;8;25
condicio;12;2;11;25
consuesco;7;3;15;25
custodio;2;2;21;25
decedo;7;8;10;25
deliciae;2;16;7;25
dens;5;13;7;25
dilectus;8;5;12;25
expendo;4;1;20;25
extra;12;2;11;25
haurio;7;14;4;25
hortor;16;1;8;25
humilis;4;14;7;25
ianua;2;10;13;25
Iesus;0;0;25;25
induco;4;4;17;25
ineo;3;9;13;25
insto;10;15;0;25
intueor;9;1;15;25
iuventus;6;7;12;25
lenis;2;22;1;25
loco;11;10;4;25
lucus;1;22;2;25
merx;4;11;10;25
nefas;2;19;4;25
orator;18;2;5;25
pinguis;2;20;3;25
Priamus;1;11;13;25
profundus;0;18;7;25
quartus;9;3;13;25
saltus;3;14;8;25
semen;2;19;4;25
supervenio;2;0;23;25
aestas;5;10;9;24
alternus;1;22;1;24
anxius;4;16;4;24
clades;13;10;1;24
commendo;6;7;11;24
commodus;8;12;4;24
compleo;5;10;9;24
concurro;13;5;6;24
deprehendo;7;8;9;24
destino;8;6;10;24
dignor;0;13;11;24
doctrina;4;3;17;24
educo;11;9;4;24
erigo;4;11;9;24
excedo;13;3;8;24
exorior;5;15;4;24
expedio;11;3;10;24
expleo;4;11;9;24
expono;5;4;15;24
folium;1;17;6;24
incedo;8;8;8;24
infernus;0;13;11;24
invito;2;3;19;24
invitus;3;16;5;24
iustitia;6;5;13;24
iuventa;3;19;2;24
libet;2;18;4;24
modicus;7;4;13;24
obsto;5;14;5;24
passus;10;9;5;24
possideo;5;8;11;24
priscus;1;20;3;24
provincia;9;1;14;24
prudens;1;7;16;24
quies;12;0;12;24
salveo;1;10;13;24
Saxon;0;1;23;24
sex;7;3;14;24
sileo;2;19;3;24
subdo;3;7;14;24
torreo;5;17;2;24
utinam;0;13;11;24
valles;0;14;10;24
vas;0;2;22;24
venenum;4;16;4;24
vito;4;13;7;24
adduco;7;3;13;23
admitto;7;11;5;23
adventus;8;5;10;23
aer;1;13;9;23
almus;0;17;6;23
arripio;4;2;17;23
ater;2;19;2;23
averto;13;6;4;23
caeruleus;0;23;0;23
carcer;2;8;13;23
Ceres;2;21;0;23
circumeo;12;3;8;23
claustrum;0;5;18;23
confido;8;5;10;23
considero;5;0;18;23
corripio;4;11;8;23
daemon;0;0;23;23
discipulus;0;1;22;23
egeo;4;11;8;23
emitto;3;6;14;23
emo;6;5;12;23
ensis;1;16;6;23
excito;16;0;7;23
expello;7;9;7;23
focus;1;18;4;23
formosus;2;19;2;23
furtum;2;12;9;23
gremium;1;17;5;23
Hispania;12;0;11;23
Homerus;11;10;2;23
immo;10;1;12;23
incendium;13;8;2;23
incumbo;0;11;12;23
ingratus;2;20;1;23
laetitia;6;3;14;23
lis;0;17;6;23
luctus;7;12;4;23
ludus;3;11;9;23
maereo;0;21;2;23
maturus;4;17;2;23
messis;0;20;3;23
neu (neve);3;20;0;23
nitidus;1;20;2;23
nuper;5;11;7;23
occupo;5;9;9;23
occurro;9;4;10;23
operio;12;5;6;23
passim;8;9;6;23
pendeo;1;22;0;23
penitus;3;11;9;23
praefero;9;11;3;23
repente;8;8;7;23
resisto;9;4;10;23
ruina;6;15;2;23
Samson;0;0;23;23
status;5;0;18;23
stultus;7;4;12;23
tempestas;11;6;6;23
transfero;5;6;12;23
uber;4;15;4;23
velox;4;12;7;23
veritas;3;2;18;23
vesper;1;8;14;23
vetustas;7;15;1;23
abundo;4;7;11;22
altaria;1;7;14;22
appono;3;7;12;22
Asia;14;8;0;22
contentus;8;5;9;22
cultus, adj.;6;15;1;22
devoveo;5;7;10;22
dirus;1;17;4;22
epulae;8;6;8;22
familia;14;0;8;22
ferio;2;16;4;22
firmo;4;6;12;22
frons, -ndis;0;16;6;22
gena;0;22;0;22
habitus;12;5;5;22
horridus;0;22;0;22
ibidem;1;0;21;22
initium;17;1;4;22
Karolus;0;0;22;22
Lar;1;19;2;22
ligo, v.;0;4;18;22
luceo;2;19;1;22
meditor;2;7;13;22
munio;8;4;10;22
murmur;1;17;4;22
obscurus;6;11;5;22
onero;7;5;10;22
ora;1;20;1;22
plaudo;6;14;2;22
plebs;9;10;3;22
pons;7;3;12;22
portus;3;11;8;22
postremus;13;2;7;22
potus;0;4;18;22
praesentia;5;4;13;22
propinquus;11;5;6;22
prosperus;10;3;9;22
religiosus;2;0;20;22
reus;7;6;9;22
rivus;1;18;3;22
robur;7;8;7;22
rota;0;20;2;22
rubeo;0;20;2;22
rupes;4;15;3;22
solitudo;12;0;10;22
subicio;5;5;12;22
suspicio, v.;12;4;6;22
titulus;1;19;2;22
utilitas;11;0;11;22
vulgo, v.;10;11;1;22
adhibeo;10;5;6;21
aditus;9;0;12;21
anguis;8;13;0;21
antequam;4;0;17;21
cervix;4;15;2;21
charta;1;16;4;21
columna;2;8;11;21
crux;2;3;16;21
decerno;11;2;8;21
despicio;6;12;3;21
discrimen;10;7;4;21
etsi;8;7;6;21
exiguus;6;14;1;21
fallax;1;16;4;21
fidus;3;14;4;21
firmus;5;6;10;21
heres;5;14;2;21
immortalis;16;5;0;21
impedio;12;2;7;21
insula;7;2;12;21
iuvencus;1;18;2;21
letum;0;21;0;21
M.;19;0;2;21
manes;0;21;0;21
mergo;1;18;2;21
miseror;4;13;4;21
navigo;4;4;13;21
ostium;3;4;14;21
palleo;0;20;1;21
Papa;0;0;21;21
Paulus;9;7;5;21
Penates;6;13;2;21
persequor;11;3;7;21
planus;13;4;4;21
privatus;12;7;2;21
quaeso;3;12;6;21
recens;8;11;2;21
rumor;6;7;8;21
saltem;3;7;11;21
sertum;0;21;0;21
simulacrum;7;12;2;21
vastus;6;14;1;21
veto;6;12;3;21
viso;7;12;2;21
absolvo;8;3;9;20
aestimo;5;3;12;20
aestus;3;15;2;20
amarus;2;6;12;20
ambulo;3;0;17;20
antea;12;0;8;20
ardor;2;16;2;20
arduus;5;12;3;20
benignus;0;13;7;20
bestia;7;0;13;20
Brutus;9;2;9;20
castellum;12;0;8;20
Catullus;1;19;0;20
cella;0;1;19;20
comperio;6;0;14;20
concipio;5;7;8;20
coniungo;7;7;6;20
cubile;1;15;4;20
deicio;8;4;8;20
despero;7;4;9;20
effero;8;9;3;20
eloquentia;18;0;2;20
exigo;7;3;10;20
fluvius;2;8;10;20
Germania;9;3;8;20
gramen;0;16;4;20
gurges;2;18;0;20
haereo;6;11;3;20
Hisparius;14;3;3;20
indignus;5;10;5;20
Indus;0;16;4;20
inicio;11;7;2;20
iocus;2;14;4;20
Iuno;4;15;1;20
lacero;3;12;5;20
laevus;5;12;3;20
lassus;0;14;6;20
legatus;12;0;8;20
lentus;1;19;0;20
libido;7;5;8;20
libo;0;19;1;20
lilium;0;12;8;20
liquidus;1;17;2;20
lucidus;0;14;6;20
marmor;1;15;4;20
medicus;5;0;15;20
mico;0;15;5;20
militaris;18;0;2;20
misericordia;4;0;16;20
necto;0;20;0;20
nex;8;8;4;20
noctu;3;9;8;20
novem;3;10;7;20
nutrio;0;8;12;20
onus;5;12;3;20
Orpheus;1;19;0;20
palma;1;18;1;20
penna;0;15;5;20
potentia;11;3;6;20
praedico, -are;7;0;13;20
pretiosus;1;2;17;20
quisnam;7;6;7;20
redimo;3;4;13;20
reficio;5;6;9;20
repleo;1;4;15;20
seges;1;15;4;20
servitium;3;7;10;20
severus;9;9;2;20
simplex;2;8;10;20
situs;4;9;7;20
sonitus;0;13;7;20
spons;7;11;2;20
transmitto;3;5;12;20
vernus;1;17;2;20
vestimentum;8;1;11;20
acutus;4;7;8;19
adiuvo;9;0;10;19
aedes;7;8;4;19
aggredior;8;4;7;19
Alexander;9;0;10;19
appropinquo;6;0;13;19
apto;5;13;1;19
artus, n.;1;17;1;19
attingo;6;6;7;19
avarus;3;12;4;19
celo;2;11;6;19
cena;6;4;9;19
contraho;4;5;10;19
culmen;1;8;10;19
decens;4;10;5;19
delecto;4;3;12;19
destituo;10;5;4;19
effugio;5;9;5;19
erudio;9;1;9;19
excutio;8;9;2;19
Hector;0;13;6;19
hibernus;10;9;0;19
hilaris;6;6;7;19
immanis;3;11;5;19
immineo;6;5;8;19
intersum;12;2;5;19
introeo;5;0;14;19
iudico;8;2;9;19
lacertus;4;12;3;19
laetor;2;6;11;19
lector;1;7;11;19
ministro;0;4;15;19
miraculum;6;4;9;19
mutus;4;11;4;19
nequeo;3;7;9;19
Nicolaus;0;0;19;19
obruo;9;7;3;19
obsequor;0;4;15;19
occasio;7;2;10;19
Oceanus;3;14;2;19
offendo;5;7;7;19
Olympus;0;19;0;19
opinio;15;0;4;19
origo;4;8;7;19
paupertas;3;7;9;19
perfundo;2;12;5;19
praeceps;6;9;4;19
prospicio;5;8;6;19
punio;9;2;8;19
purpura;2;15;2;19
requiesco;1;11;7;19
risus;2;8;9;19
Romulus;11;8;0;19
ros;0;17;2;19
scriptor;7;4;8;19
segnis;6;11;2;19
sera;1;14;4;19
siccus;0;16;3;19
sollicito;4;14;1;19
stringo;7;9;3;19
superus;0;19;0;19
ubique;5;3;11;19
umerus;6;9;4;19
vindico;6;4;9;19
violo;4;13;2;19
abicio;7;4;7;18
adiungo;8;4;6;18
aratrum;0;16;2;18
avus;2;16;0;18
colonus;4;14;0;18
compello,-ere;5;2;11;18
concino;1;13;4;18
confundo;0;8;10;18
consido;8;4;6;18
contendo;9;9;0;18
corrigo;5;13;0;18
cruor;3;12;3;18
daps;0;16;2;18
decurro;4;11;3;18
dedo;6;7;5;18
deligo;10;4;4;18
demum;4;6;8;18
difficilis;10;7;1;18
discordia;7;7;4;18
duro;7;4;7;18
exsul;0;11;7;18
ferveo;3;9;6;18
for;6;7;5;18
furtim;1;12;5;18
gelidus;1;17;0;18
gemma;2;11;5;18
Hercules;4;12;2;18
hospitium;1;3;14;18
ignarus;7;8;3;18
ignosco;3;13;2;18
implico;1;13;4;18
includo;3;9;6;18
infundo;3;9;6;18
iniquus;7;9;2;18
intereo;5;11;2;18
inutilis;4;3;11;18
invado;5;2;11;18
latro, n.;6;0;12;18
lubricus;2;12;4;18
maternus;1;13;4;18
monstrum;4;11;3;18
nobilitas;5;6;7;18
nubilus;1;15;2;18
oppidum;7;10;1;18
ornamentum;4;0;14;18
palam;6;8;4;18
pavor;2;13;3;18
perennis;2;13;3;18
perterreo;13;0;5;18
plaga;3;9;6;18
potior;5;10;3;18
praepono;6;6;6;18
produco;4;4;10;18
proficiscor;12;2;4;18
progredior;11;1;6;18
puerulus;0;0;18;18
queo;4;11;3;18
radius;0;16;2;18
resono;0;15;3;18
saevio;4;12;2;18
scriptura;0;0;18;18
signo;0;13;5;18
subsequor;9;0;9;18
succurro;3;5;10;18
supplex;2;11;5;18
timidus;6;11;1;18
tono;0;15;3;18
totiens;3;11;4;18
tremo;0;14;4;18
trepido;5;13;0;18
trepidus;5;11;2;18
ulterior;3;3;12;18
uva;0;16;2;18
vestio;4;5;9;18
virga;2;6;10;18
affligo;8;3;6;17
ambo;2;5;10;17
annuo;2;7;8;17
ast;0;12;5;17
Britannia;4;1;12;17
calamus;0;13;4;17
calor;1;9;7;17
Capitolium;13;4;0;17
Cato;6;0;11;17
codicilli;2;0;15;17
concido;7;7;3;17
cruentus;2;15;0;17
Daphne;0;17;0;17
dein;0;4;13;17
dispono;3;6;8;17
domesticus;7;0;10;17
dominicus;1;1;15;17
emendo;3;2;12;17
equitatus;17;0;0;17
erubesco;4;3;10;17
exitus;8;5;4;17
exsilium;5;4;8;17
fatigo;6;2;9;17
fecundus;2;14;1;17
festus, n.;0;15;2;17
genitor;0;15;2;17
gradus;5;10;2;17
Graecia;4;6;7;17
Graius;1;16;0;17
harena;3;10;4;17
heros;2;13;2;17
indulgeo;2;5;10;17
iners;0;0;17;17
mirabilis;5;1;11;17
monstro;1;10;6;17
mordeo;0;11;6;17
mutuus;3;12;2;17
myrtus;0;17;0;17
nauta;3;5;9;17
nitor, v.;2;13;2;17
occultus;5;7;5;17
operor;0;6;11;17
opinor;9;6;2;17
ordino;2;2;13;17
pagina;1;10;6;17
pannus;0;1;16;17
parvulus;3;3;11;17
patrius;0;17;0;17
Philippus;9;4;4;17
Pierius;0;17;0;17
piger;0;12;5;17
plango;2;6;9;17
plectrum;0;12;5;17
praeclarus;5;6;6;17
praesumo;1;2;14;17
pristinus;8;2;7;17
procuro;2;1;14;17
prosterno;3;5;9;17
pulvis;3;8;6;17
querela;3;13;1;17
quintus;4;4;9;17
recito;7;1;9;17
remus;2;12;3;17
requies;0;3;14;17
responsum;2;1;14;17
restituo;6;7;4;17
saluto;2;4;11;17
scholaris;0;0;17;17
seco;3;8;6;17
serus;1;14;2;17
sobrius;4;5;8;17
solidus;4;7;6;17
splendidus;8;5;4;17
spondeo;0;9;8;17
Stygius;0;17;0;17
temere;8;7;2;17
terribilis;3;9;5;17
tuba;5;10;2;17
urna;1;15;1;17
vallum;13;2;2;17
veluti;2;8;7;17
vigeo;6;9;2;17
vitis;1;11;5;17
acquiro;1;1;14;16
adimo;4;11;1;16
admoneo;9;3;4;16
adoro;1;5;10;16
aequo;5;9;2;16
Africanus;11;2;3;16
agnus;0;13;3;16
Agrippina;16;0;0;16
ala;4;8;4;16
alumnus;1;13;2;16
animadverto;14;0;2;16
anus;0;13;3;16
apprehendo;2;0;14;16
assero;4;2;10;16
atrox;7;5;4;16
attendo;3;2;11;16
auctoritas;10;0;6;16
autumnus;2;11;3;16
caleo;1;13;2;16
caterva;0;10;6;16
cithara;0;9;7;16
comprehendo;6;4;6;16
conicio;13;0;3;16
conservo;6;2;8;16
conspectus;8;4;4;16
construo;0;3;13;16
cophinus;0;0;16;16
cunctor;9;6;1;16
declino;2;3;11;16
defungor;3;3;10;16
devinco;5;7;4;16
devoro;0;3;13;16
domo;2;14;0;16
dulcedo;0;2;14;16
elephantus;8;2;6;16
emineo;9;2;5;16
etenim;3;4;9;16
extraho;1;0;15;16
familiaris;11;0;5;16
faux;5;6;5;16
flagro;5;8;3;16
fors;2;9;5;16
fugo;4;10;2;16
fumus;4;6;6;16
gemitus;4;6;6;16
gemo;2;10;4;16
genu;3;6;7;16
gravidus;0;15;1;16
humilitas;2;0;14;16
inclytus;0;9;7;16
infestus;8;6;2;16
interior;3;5;8;16
Iugurtha;14;2;0;16
Kalendae;3;3;10;16
Latium;1;14;1;16
Martius;3;11;2;16
miserabilis;2;4;10;16
nuptiae;2;3;11;16
observo;9;1;6;16
omitto;13;0;3;16
patefacio;3;8;5;16
patientia;11;1;4;16
perfidus;0;9;7;16
pilum;9;4;3;16
placo;3;0;13;16
pollex;0;9;7;16
praesum;11;0;5;16
proinde;10;2;4;16
pronus;5;8;3;16
propheta;0;0;16;16
quandoque;3;2;11;16
revolvo;2;3;11;16
roseus;0;14;2;16
ruber;0;12;4;16
Saturnus;3;6;7;16
socer;5;7;4;16
statio;12;4;0;16
suadeo;1;10;5;16
submitto;4;6;6;16
succedo;3;6;7;16
texo;3;13;0;16
tigris;0;15;1;16
tremulus;0;13;3;16
tus;1;14;1;16
una;6;7;3;16
unguis;1;9;6;16
vagor, v.;2;11;3;16
volito;2;11;3;16
abscondo;3;5;7;15
accuso;3;1;11;15
acerbus;1;14;0;15
Achilles;2;13;0;15
aerius;0;11;4;15
aestuo;2;8;5;15
agrestis;1;12;2;15
angustia;3;2;10;15
apostolus;0;0;15;15
applico;3;7;5;15
arguo;4;0;11;15
aspectus;3;5;7;15
assideo;6;6;3;15
assumo;1;0;14;15
attonitus;4;9;2;15
avaritia;7;2;6;15
carina;0;13;2;15
catena;0;10;5;15
cito;1;11;3;15
conscius;3;9;3;15
consurgo;3;8;4;15
continuus;3;3;9;15
contrarius;3;5;7;15
crastinus;4;4;7;15
Curio;15;0;0;15
cycnus;0;12;3;15
decanto;0;1;14;15
demitto;1;11;3;15
diffundo;6;5;4;15
dominor;2;6;7;15
eo, adv.;2;8;5;15
excido;5;8;2;15
explico;2;8;5;15
extendo;4;4;7;15
facinus;10;3;2;15
facundus;0;9;6;15
ferreus;2;5;8;15
flavus;0;14;1;15
foramen;0;0;15;15
frumentum;11;2;2;15
furo;4;8;3;15
generosus;4;7;4;15
grammaticus;1;1;13;15
guberno;3;8;4;15
gusto;8;1;6;15
immemor;0;8;7;15
impetro;6;3;6;15
indulgentia;4;5;6;15
infirmus;5;1;9;15
insanus;0;12;3;15
inspicio;3;4;8;15
invicem;3;1;11;15
Iohannes;0;0;15;15
lac;2;12;1;15
liquor, n.;0;15;0;15
lustro;1;14;0;15
magistratus;15;0;0;15
malitia;3;0;12;15
Maria;0;7;8;15
mina;2;10;3;15
minuo;5;5;5;15
molestus;6;6;3;15
monile;0;2;13;15
natalis;2;8;5;15
necdum;2;7;6;15
ni;4;7;4;15
Nilus;0;14;1;15
nodus;5;10;0;15
nonne;2;3;10;15
num;5;7;3;15
nusquam;3;5;7;15
obsideo;8;3;4;15
paganus;0;0;15;15
Parthus;2;12;1;15
peregrinus;1;4;10;15
perimo;1;8;6;15
pignus;0;13;2;15
pluvius;3;10;2;15
polleo;1;7;7;15
porro;2;6;7;15
praecedo;3;2;10;15
priusquam;6;1;8;15
promptus;6;5;4;15
protego;8;2;5;15
quercus;0;13;2;15
refugio;5;9;1;15
repono;3;5;7;15
sapio;0;10;5;15
senectus, adj.;1;14;0;15
series;3;9;3;15
siquis;0;15;0;15
spolium;4;8;3;15
testis;2;9;4;15
tibia;1;10;4;15
tormentum;4;3;8;15
ultro;7;5;3;15
valetudo;12;0;3;15
videlicet;3;0;12;15
vigil;5;8;2;15
abdo;6;8;0;14
admoveo;3;10;1;14
Aegyptus;1;1;12;14
Aeneas;0;11;3;14
Afer;8;6;0;14
Anglia;0;0;14;14
aper;5;4;5;14
appeto;3;5;6;14
arbitrium;4;8;2;14
aveo;0;6;8;14
beneficium;0;1;13;14
C.;13;0;1;14
callidus;2;4;8;14
cauda;0;5;9;14
celeber;0;8;6;14
clam;3;4;7;14
cliens;5;8;1;14
Clitus;13;1;0;14
contego;3;9;2;14
cuculus;0;0;14;14
cunabula;0;4;10;14
curvus;0;12;2;14
deleo;7;7;0;14
denuntio;5;6;3;14
devotio;2;1;11;14
dimidius;0;4;10;14
discurro;2;5;7;14
dolus;4;5;5;14
dos;4;4;6;14
elementum;3;5;6;14
excludo;6;4;4;14
formido, n.;3;9;2;14
fortasse;8;4;2;14
fortunatus;3;7;4;14
fragilis;2;11;1;14
fungor;5;7;2;14
genetrix;1;10;3;14
germen;0;11;3;14
Gregorious;0;0;14;14
Helicon;0;14;0;14
honoro;2;3;9;14
huiusmodi;0;0;14;14
imbuo;3;4;7;14
immitto;6;6;2;14
incredibilis;12;0;2;14
infans;2;4;8;14
inficio;2;9;3;14
inflo;3;6;5;14
ingero;2;7;5;14
inquiro;3;2;9;14
insum;5;3;6;14
intimus;2;4;8;14
irritus;4;0;10;14
iugerum;1;13;0;14
lancea;4;2;8;14
lectio;0;0;14;14
lectus, n.;4;7;3;14
levis;3;9;2;14
libertus;13;1;0;14
libra;1;5;8;14
luxuria;4;3;7;14
Maenalius;0;14;0;14
magnificus;5;4;5;14
maiestas;2;7;5;14
Maro;0;12;2;14
Maurus;0;4;10;14
miseria;4;3;7;14
motus;4;8;2;14
nato;0;8;6;14
neco;5;6;3;14
nescius;0;11;3;14
nutrix;5;5;4;14
occasus;5;6;3;14
partim;1;11;2;14
perduco;6;2;6;14
peritus;4;2;8;14
permaneo;5;3;6;14
philosophia;4;0;10;14
ploro;4;8;2;14
praesertim;7;4;3;14
profecto;8;2;4;14
prosequor;6;2;6;14
provideo;9;1;4;14
puppis;2;11;1;14
purgo;6;3;5;14
regula;1;1;12;14
remedium;7;0;7;14
renovo;2;6;6;14
repello;2;9;3;14
resto;2;9;3;14
sacro;0;9;5;14
satio;1;9;4;14
scindo;2;8;4;14
scutum;10;1;3;14
sero;2;5;7;14
sextus;4;2;8;14
sopor;0;8;6;14
stirps;3;8;3;14
strages;4;4;6;14
strepitus;5;6;3;14
struo;2;9;3;14
summa;4;2;8;14
supplicium;9;3;2;14
tabula;7;3;4;14
trabs;0;9;5;14
triginta;4;1;9;14
tumidus;1;11;2;14
umidus;1;13;0;14
usquam;4;7;3;14
velo;2;9;3;14
vena;0;8;6;14
viator;0;10;4;14
virgineus;4;8;2;14
visito;0;0;14;14
abrumpo;3;8;2;13
abscindo;4;0;9;13
accommodo;4;2;7;13
acquiesco;0;2;11;13
adipiscor;6;4;3;13
admodum;9;0;4;13
adversarius;6;0;7;13
advoco;5;1;7;13
aequalis;3;8;2;13
aetherius;0;13;0;13
Anglus;0;0;13;13
animo;2;6;5;13
Athenae;6;7;0;13
avena;0;11;2;13
bruma;1;3;9;13
calidus;1;9;3;13
Camena;0;12;1;13
canorus;0;10;3;13
capitulum;0;0;13;13
celeritas;10;0;3;13
ceno;11;1;1;13
circumvenio;10;1;2;13
clavis;1;2;10;13
collega;7;1;5;13
columba;1;8;4;13
contio;10;0;3;13
contristo;0;0;13;13
conubium;0;13;0;13
convoco;2;0;11;13
corono;0;10;3;13
Cybele;0;13;0;13
Delia;0;13;0;13
denarius;3;0;10;13
diligentia;8;0;5;13
dimico;0;9;4;13
dudum;3;2;8;13
esca;0;3;10;13
Etruscus;0;13;0;13
eunuchus;0;0;13;13
excellens;9;1;3;13
exitium;4;8;1;13
exoro;2;2;9;13
fistula;0;12;1;13
flagellum;0;5;8;13
fortitudo;5;0;8;13
frenum;2;6;5;13
garrulus;0;9;4;13
gentilis;0;2;11;13
gloriosus;2;0;11;13
gravo;2;6;5;13
Ilion;0;13;0;13
illustris;7;1;5;13
immitis;0;13;0;13
impotens;7;6;0;13
incolumis;6;4;3;13
increpo;0;12;1;13
indignor;5;5;3;13
industria;5;0;8;13
infinitus;2;0;11;13
ingemisco;3;2;8;13
iniustus;0;5;8;13
insequor;5;1;7;13
intactus;2;10;1;13
lapsus;3;8;2;13
lascivus;1;11;1;13
lustrum;0;12;1;13
machina;0;5;8;13
malignus;4;6;3;13
manifestus;6;3;4;13
medulla;0;13;0;13
mendax;0;7;6;13
Minerva;3;10;0;13
minor, v.;3;8;2;13
misereo;1;5;7;13
modulor;0;8;5;13
mulceo;1;11;1;13
nanciscor;6;3;4;13
nasus;2;7;4;13
natio;5;1;7;13
nonnullus;1;1;11;13
nutus;2;6;5;13
paenitentia;4;0;9;13
Pan;0;13;0;13
Parea;0;13;0;13
paternus;2;10;1;13
pinna;1;12;0;13
polliceor;8;2;3;13
popularis;10;3;0;13
procer;1;5;7;13
procurro;12;1;0;13
provoco;1;5;7;13
pudicus;0;12;1;13
reparo;0;9;4;13
retro;4;5;4;13
ritus;0;7;6;13
rostrum;0;8;5;13
rutilus;0;12;1;13
saecularis;0;0;13;13
sagax;0;5;8;13
Scipio;11;2;0;13
scrutor;5;5;3;13
sitis;0;7;6;13
sordidus;5;6;2;13
sortior;1;9;3;13
subtilis;3;0;10;13
sulcus;0;12;1;13
superstes;5;6;2;13
taberna;1;3;9;13
taeda;0;13;0;13
Tartarus;0;11;2;13
testor;4;6;3;13
theatrum;4;9;0;13
tingo;0;12;1;13
tribunus;12;1;0;13
triclinium;7;0;6;13
Troianus;1;7;5;13
tyrannus;1;10;2;13
Ulixes;4;9;0;13
vario;3;9;1;13
venor;1;4;8;13
vexo;2;8;3;13
violens;0;9;4;13
viscus;1;7;5;13
vobiscum;0;3;10;13
absque;0;0;12;12
abstineo;4;4;4;12
adorior;10;1;1;12
aliquantulus;0;0;12;12
altitudo;7;0;5;12
ambitio;9;2;1;12
amoenus;1;6;5;12
arca;1;1;10;12
aries;0;7;5;12
aurora;0;9;3;12
avunculus;11;0;1;12
axis;0;12;0;12
belua;4;6;2;12
caligo, n.;5;5;2;12
cetus;0;1;11;12
ceu;0;9;3;12
cippus;0;0;12;12
Claudius;5;5;2;12
coeo;3;7;2;12
coetus;2;8;2;12
colloco;6;1;5;12
commoveo;3;1;8;12
concutio;1;10;1;12
confirmo;9;0;3;12
coniugium;0;11;1;12
consecro;1;5;6;12
conviva;6;3;3;12
corusco;0;11;1;12
cotidianus;4;0;8;12
cubiculum;6;1;5;12
cuneus;2;7;3;12
decido;2;6;4;12
dehinc;3;2;7;12
deinceps;2;0;10;12
delicatus;4;5;3;12
detineo;4;1;7;12
dispergo;3;5;4;12
ebur;0;11;1;12
elegans;6;0;6;12
Ennius;4;8;0;12
eodem;6;1;5;12
exhibeo;0;3;9;12
exploro;7;2;3;12
exprimo;3;2;7;12
exsequiae;1;11;0;12
externus;5;6;1;12
facultas;5;3;4;12
favor;1;8;3;12
flebilis;1;10;1;12
fodio;2;5;5;12
foras;2;3;7;12
