Latin	English	Declension	Gender	Total	Prose	Poetry	NomSg	NomPl	GenSg	GenPl	DatSg	DatPl	AccSg	AccPl	AblSg	AblPl	VocSg	VocPl	LocSg	LocPl
poena	penalty, punishment	1	f	428	260	168	poena	poenae	poenae	poenārum	poenae	poenīs	poenam	poenās	poenā	poenīs	poena	poenae		
frater	brother	3	mh	426	258	168	frāter	frātrēs	frātris	frātrum	frātrī	frātribus	frātrem	frātrēs	frātre	frātribus	frāter	frātrēs		
iniuria	injury, insult, injustice	1	f	425	410	15	iniūria	iniūriae	iniūriae	iniūriārum	iniūriae	iniūriīs	iniūriam	iniūriās	iniūriā	iniūriīs	iniūria	iniūriae		
fama	fame	1	f	425	320	105	fāma	fāmae	fāmae	fāmārum	fāmae	fāmīs	fāmam	fāmās	fāmā	fāmīs	fāma	fāmae		
fatum	destiny, fate	2	n	424	117	307	fātum	fāta	fātī	fātōrum	fātō	fātīs	fātum	fāta	fātō	fātīs	fātum	fāta		
gratia	grace, thanks	1	f	418	399	19	grātia	grātiae	grātiae	grātiārum	grātiae	grātiīs	grātiam	grātiās	grātiā	grātiīs	grātia	grātiae		
aetas	age	3	f	418	343	75	aetās	aetātēs	aetātis	aetātum	aetātī	aetātibus	aetātem	aetātēs	aetāte	aetātibus	aetās	aetātēs		
voluptas	pleasure	3	f	415	394	21	voluptās	voluptātēs	voluptātis	voluptātum	voluptātī	voluptātibus	voluptātem	voluptātēs	voluptāte	voluptātibus	voluptās	voluptātēs		
sanguis	blood	3	m	414	218	196	sanguis	sanguinēs	sanguinis	sanguinum	sanguinī	sanguinibus	sanguinem	sanguinēs	sanguine	sanguinibus	sanguis	sanguinēs		
equus	horse	2	m	411	262	149	equus	equī	equī	equōrum	equō	equīs	equum	equōs	equō	equīs	eque	equī		
vultus	expression, face, appearance	4	m	402	185	217	vultus	vultūs	vultūs	vultuum	vultuī	vultibus	vultum	vultūs	vultū	vultibus	vultus	vultūs		
proelium	battle, warrior	2	n	401	349	52	proelium	proelia	proeliī	proeliōrum	proeliō	proeliīs	proelium	proelia	proeliō	proeliīs	proelium	proelia		
opus	work	3	n	393	325	68	opus	opera	operis	operum	operī	operibus	opus	opera	opere	operibus	opus	opera		
mons	mountain	3	m	391	224	167	mōns	montēs	montis	montium	montī	montibus	montem	montēs	monte	montibus	mōns	montēs		
numerus	number	2	m	390	327	63	numerus	numerī	numerī	numerōrum	numerō	numerīs	numerum	numerōs	numerō	numerīs	numere	numerī		
ius	law, right, duty	3	n	388	300	88	iūs	iūra	iūris	iūrum	iūrī	iūribus	iūs	iūra	iūre	iūribus	iūs	iūra		
pectus	chest, breast	3	n	387	116	271	pectus	pectora	pectoris	pectorum	pectorī	pectoribus	pectus	pectora	pectore	pectoribus	pectus	pectora		
telum	dart, spear, weapon	2	n	386	232	154	tēlum	tēla	tēlī	tēlōrum	tēlō	tēlīs	tēlum	tēla	tēlō	tēlīs	tēlum	tēla		
puer	child, boy	2	m	385	124	261	puer	puerī	puerī	puerōrum	puerō	puerīs	puerum	puerōs	puerō	puerīs	puer/puere	puerī		
aqua	water	1	f	383	247	136	aqua	aquae	aquae	aquārum	aquae	aquīs	aquam	aquās	aquā	aquīs	aqua	aquae		
flumen	river	3	n	380	258	122	flūmen	flūmina	flūminis	flūminum	flūminī	flūminibus	flūmen	flūmina	flūmine	flūminibus	flūmen	flūmina		
ingenium	natural character, disposition, intelligence, talent	2	n	377	338	39	ingenium	ingenia	ingeniī	ingeniōrum	ingeniō	ingeniīs	ingenium	ingenia	ingeniō	ingeniīs	ingenium	ingenia		
ops	power to help, resources	3	f	376	284	92	ops	opēs	opis	opum	opī	opibus	opem	opēs	ope	opibus	ops	opēs		
gloria	glory, fame	1	f	373	314	59	glōria	glōriae	glōriae	glōriārum	glōriae	glōriīs	glōriam	glōriās	glōriā	glōriīs	glōria	glōriae		
agmen	multitude, army, stream	3	n	360	292	68	agmen	agmina	agminis	agminum	agminī	agminibus	agmen	agmina	agmine	agminibus	agmen	agmina		
ferrum	iron, sword	2	n	352	150	202	ferrum	ferra	ferrī	ferrōrum	ferrō	ferrīs	ferrum	ferra	ferrō	ferrīs	ferrum	ferra		
coniux	spouse	3	mh, fh	351	128	223	coniūx	coniugēs	coniugis	coniugum	coniugī	coniugibus	coniugem	coniugēs	coniuge	coniugibus	coniūx	coniugēs		
navis	ship	3	f	349	270	79	nāvis	nāvēs	nāvis	nāvium	nāvī	nāvibus	nāvem/nāvim	nāvēs/nāvīs	nāve/nāvī	nāvibus	nāvis	nāvēs		
silva	wood, forest	1	f	341	137	204	silva	silvae	silvae	silvārum	silvae	silvīs	silvam	silvās	silvā	silvīs	silva	silvae		
impetus	attack	4	m	339	296	43	impetus	impetūs	impetūs	impetuum	impetuī	impetibus	impetum	impetūs	impetū	impetibus	impetus	impetūs		
ager	field, farm	2	m	337	230	107	ager	agrī	agrī	agrōrum	agrō	agrīs	agrum	agrōs	agrō	agrīs	ager	agrī		
studium	study	2	n	335	302	33	studium	studia	studiī	studiōrum	studiō	studiīs	studium	studia	studiō	studiīs	studium	studia		
acies	sharp edge, battle line	5	f	328	286	42	aciēs	aciēs	aciēī	aciērum	aciēī	aciēbus	aciem	aciēs	aciē	aciēbus	aciēs	aciēs		
vulnus	wound, injury	3	n	324	212	112	vulnus	vulnera	vulneris	vulnerum	vulnerī	vulneribus	vulnus	vulnera	vulnere	vulneribus	vulnus	vulnera		
fuga	flight, escape, exile	1	f	323	238	85	fuga	fugae	fugae	fugārum	fugae	fugīs	fugam	fugās	fugā	fugīs	fuga	fugae		
pecunia	money, wealth	1	f	322	311	11	pecūnia	pecūniae	pecūniae	pecūniārum	pecūniae	pecūniīs	pecūniam	pecūniās	pecūniā	pecūniīs	pecūnia	pecūniae		
munus	service, buden, duty, gift	3	n	322	157	165	mūnus	mūnera	mūneris	mūnerum	mūnerī	mūneribus	mūnus	mūnera	mūnere	mūneribus	mūnus	mūnera		
libertas	liberty, freedom	3	f	321	297	24	lībertās	lībertātēs	lībertātis	lībertātum	lībertātī	lībertātibus	lībertātem	lībertātēs	lībertāte	lībertātibus	lībertās	lībertātēs		
pax	peace	3	f	318	245	73	pāx	pācēs	pācis	pācum	pācī	pācibus	pācem	pācēs	pāce	pācibus	pāx	pācēs		
civis	citizen	3	mh, fh	315	279	36	cīvis	cīvēs	cīvis	cīvium	cīvī	cīvibus	cīvem	cīvēs/cīvīs	cīve/cīvī	cīvibus	cīvis	cīvēs		
lux	light	3	f	314	174	140	lūx	lūcēs	lūcis	lūcum	lūcī	lūcibus	lūcem	lūcēs	lūce	lūcibus	lūx	lūcēs		
ordo	order, class, rank	3	m	313	252	61	ōrdō	ōrdinēs	ōrdinis	ōrdinum	ōrdinī	ōrdinibus	ōrdinem	ōrdinēs	ōrdine	ōrdinibus	ōrdō	ōrdinēs		
sol	sun	3	m	312	185	127	sōl	sōlēs	sōlis	sōlum	sōlī	sōlibus	sōlem	sōlēs	sōle	sōlibus	sōl	sōlēs		
iuvenis	youth	3	mh, fh	311	140	171	iuvenis	iuvenēs	iuvenis	iuvenum	iuvenī	iuvenibus	iuvenem	iuvenēs	iuvene	iuvenibus	iuvenis	iuvenēs		
spatium	space, room	2	n	310	252	58	spatium	spatia	spatiī	spatiōrum	spatiō	spatiīs	spatium	spatia	spatiō	spatiīs	spatium	spatia		
unda	wave	1	f	308	31	277	unda	undae	undae	undārum	undae	undīs	undam	undās	undā	undīs	unda	undae		
animal	animal	3	n	307	293	14	animal	animālia	animālis	animālium	animālī	animālibus	animal	animālia	animālī	animālibus	animal	animālia		
litus	beach, shore	3	n	303	89	214	lītus	lītora	lītoris	lītorum	lītorī	lītoribus	lītus	lītora	lītore	lītoribus	lītus	lītora		
patria	country, homeland	1	f	301	189	112	patria	patriae	patriae	patriārum	patriae	patriīs	patriam	patriās	patriā	patriīs	patria	patriae		
servus	servant, slave	2	m	300	264	36	servus	servī	servī	servōrum	servō	servīs	servum	servōs	servō	servīs	serve	servī		
aurum	gold	2	n	300	155	145	aurum	aura	aurī	aurōrum	aurō	aurīs	aurum	aura	aurō	aurīs	aurum	aura		
turba	stir, disturbance, mob	1	f	296	163	133	turba	turbae	turbae	turbārum	turbae	turbīs	turbam	turbās	turbā	turbīs	turba	turbae		
carmen	song	3	n	296	90	206	carmen	carmina	carminis	carminum	carminī	carminibus	carmen	carmina	carmine	carminibus	carmen	carmina		
victor	conqueror, victor	3	mh	295	178	117	victor	victōrēs	victōris	victōrum	victōrī	victōribus	victōrem	victōrēs	victōre	victōribus	victor	victōrēs		
cursus	race, course, journey	4	m	293	181	112	cursus	cursūs	cursūs	cursuum	cursuī	cursibus	cursum	cursūs	cursū	cursibus	cursus	cursūs		
exemplum	sample, example	2	n	286	251	35	exemplum	exempla	exemplī	exemplōrum	exemplō	exemplīs	exemplum	exempla	exemplō	exemplīs	exemplum	exempla		
sententia	opinion, thought, purpose	1	f	285	270	15	sententia	sententiae	sententiae	sententiārum	sententiae	sententiīs	sententiam	sententiās	sententiā	sententiīs	sententia	sententiae		
praesidium	defence, protection, guard	2	n	284	268	16	praesidium	praesidia	praesidiī	praesidiōrum	praesidiō	praesidiīs	praesidium	praesidia	praesidiō	praesidiīs	praesidium	praesidia		
saxum	stone	2	n	281	127	154	saxum	saxa	saxī	saxōrum	saxō	saxīs	saxum	saxa	saxō	saxīs	saxum	saxa		
salus	safety, security	3	f	280	251	29	salūs	salūtēs	salūtis	salūtum	salūtī	salūtibus	salūtem	salūtēs	salūte	salūtibus	salūs	salūtēs		
mundus	world, universe	2	m	280	160	120	mundus	mundī	mundī	mundōrum	mundō	mundīs	mundum	mundōs	mundō	mundīs	munde	mundī		
auxilium	help, aid	2	n	278	245	33	auxilium	auxilia	auxiliī	auxiliōrum	auxiliō	auxiliīs	auxilium	auxilia	auxiliō	auxiliīs	auxilium	auxilia		
ventus	wind	2	m	278	77	201	ventus	ventī	ventī	ventōrum	ventō	ventīs	ventum	ventōs	ventō	ventīs	vente	ventī		
species	spectacle, sight	5	f	276	259	17	speciēs	speciēs	speciēī	speciērum	speciēī	speciēbus	speciem	speciēs	speciē	speciēbus	speciēs	speciēs		
auris	ear	3	f	275	165	110	auris	aurēs	auris	aurium	aurī	auribus	aurem	aurēs	aure	auribus	auris	aurēs		
umbra	shadow	1	f	275	62	213	umbra	umbrae	umbrae	umbrārum	umbrae	umbrīs	umbram	umbrās	umbrā	umbrīs	umbra	umbrae		
caedes	cutting, striking	3	f	274	191	83	caedēs	caedēs	caedis	caedium	caedī	caedibus	caedem	caedēs	caede	caedibus	caedēs	caedēs		
dominus	owner, lord	2	mh	269	164	105	dominus	dominī	dominī	dominōrum	dominō	dominīs	dominum	dominōs	dominō	dominīs	domine	dominī		
regio	direction, line	3	f	266	240	26	regiō	regiōnēs	regiōnis	regiōnum	regiōnī	regiōnibus	regiōnem	regiōnēs	regiōne	regiōnibus	regiō	regiōnēs		
votum	promise, vow, prayer	2	n	265	124	141	vōtum	vōta	vōtī	vōtōrum	vōtō	vōtīs	vōtum	vōta	vōtō	vōtīs	vōtum	vōta		
orbis	circle, ring	3	m	262	109	153	orbis	orbēs	orbis	orbium	orbī	orbibus	orbem	orbēs/orbīs	orbe/orbī	orbibus	orbis	orbēs		
puella	girl	1	f	262	12	250	puella	puellae	puellae	puellārum	puellae	puellīs	puellam	puellās	puellā	puellīs	puella	puellae		
oppidum	town	2	n	257	239	18	oppidum	oppida	oppidī	oppidōrum	oppidō	oppidīs	oppidum	oppida	oppidō	oppidīs	oppidum	oppida		
sermo	conversation, discussion	3	m	256	223	33	sermō	sermōnēs	sermōnis	sermōnum	sermōnī	sermōnibus	sermōnem	sermōnēs	sermōne	sermōnibus	sermō	sermōnēs		
latus	side, flank	3	n	254	142	112	latus	latera	lateris	laterum	laterī	lateribus	latus	latera	latere	lateribus	latus	latera		
lacrima	tear	1	f	254	121	133	lacrima	lacrimae	lacrimae	lacrimārum	lacrimae	lacrimīs	lacrimam	lacrimās	lacrimā	lacrimīs	lacrima	lacrimae		
iugum	yoke	2	n	254	110	144	iugum	iuga	iugī	iugōrum	iugō	iugīs	iugum	iuga	iugō	iugīs	iugum	iuga		
officium	duty, service, office	2	n	252	223	29	officium	officia	officiī	officiōrum	officiō	officiīs	officium	officia	officiō	officiīs	officium	officia		
odium	hate	2	n	250	195	55	odium	odia	odiī	odiōrum	odiō	odiīs	odium	odia	odiō	odiīs	odium	odia		
murus	wall	2	m	250	192	58	mūrus	mūrī	mūrī	mūrōrum	mūrō	mūrīs	mūrum	mūrōs	mūrō	mūrīs	mūre	mūrī		
forma	shape, form	1	f	249	155	94	fōrma	fōrmae	fōrmae	fōrmārum	fōrmae	fōrmīs	fōrmam	fōrmās	fōrmā	fōrmīs	fōrma	fōrmae		
auctor	seller, author	3	mh	248	200	48	auctor	auctōrēs	auctōris	auctōrum	auctōrī	auctōribus	auctōrem	auctōrēs	auctōre	auctōribus	auctor	auctōrēs		
amnis	stream, torrent, river, ocean	3	m	244	166	78	amnis	amnēs	amnis	amnium	amnī	amnibus	amnem	amnēs/amnīs	amne/amnī	amnibus	amnis	amnēs		
vestis	garment, robe, clothing	3	f	241	138	103	vestis	vestēs	vestis	vestum	vestī	vestibus	vestem	vestēs	veste	vestibus	vestis	vestēs		
femina	woman, wife	1	fh	238	170	68	fēmina	fēminae	fēminae	fēminārum	fēminae	fēminīs	fēminam	fēminās	fēminā	fēminīs	fēmina	fēminae		
laus	praise, glory	3	f	238	147	91	laus	laudēs	laudis	laudum	laudī	laudibus	laudem	laudēs	laude	laudibus	laus	laudēs		
flamma	flame, fire	1	f	237	48	189	flamma	flammae	flammae	flammārum	flammae	flammīs	flammam	flammās	flammā	flammīs	flamma	flammae		
campus	plain, field	2	m	233	114	119	campus	campī	campī	campōrum	campō	campīs	campum	campōs	campō	campīs	campe	campī		
sedes	seat, chair	3	f	231	116	115	sēdēs	sēdēs	sēdis	sēdium	sēdī	sēdibus	sēdem/sēdim	sēdēs/sēdīs	sēde/sēdī	sēdibus	sēdēs	sēdēs		
mora	delay	1	f	230	112	118	mora	morae	morae	morārum	morae	morīs	moram	morās	morā	morīs	mora	morae		
crimen	verdict, judgment	3	n	229	144	85	crīmen	crīmina	crīminis	crīminum	crīminī	crīminibus	crīmen	crīmina	crīmine	crīminibus	crīmen	crīmina		
uxor	wife, spouse	3	fh	228	172	56	uxor	uxōrēs	uxōris	uxōrum	uxōrī	uxōribus	uxōrem	uxōrēs	uxōre	uxōribus	uxor	uxōrēs		
sidus	constellation, star	3	n	226	81	145	sīdus	sīdera	sīderis	sīderum	sīderī	sīderibus	sīdus	sīdera	sīdere	sīderibus	sīdus	sīdera		
cohors	court, farmyard, crowd	3	f	223	195	28	cohors	cohortēs	cohortis	cohortum	cohortī	cohortibus	cohortem	cohortēs	cohorte	cohortibus	cohors	cohortēs		
tectum	roof, ceiling	2	n	221	92	129	tēctum	tēcta	tēctī	tēctōrum	tēctō	tēctīs	tēctum	tēcta	tēctō	tēctīs	tēctum	tēcta		
timor	fear, dread	3	m	219	150	69	timor	timōrēs	timōris	timōrum	timōrī	timōribus	timōrem	timōrēs	timōre	timōribus	timor	timōrēs		
tergum	back, rear, surface	2	n	218	126	92	tergum	terga	tergī	tergōrum	tergō	tergīs	tergum	terga	tergō	tergīs	tergum	terga		
fera	wild animal, beast	1	f	218	94	124	fera	ferae	ferae	ferārum	ferae	ferīs	feram	ferās	ferā	ferīs	fera	ferae		
pugna	fight, battle	1	f	215	178	37	pugna	pugnae	pugnae	pugnārum	pugnae	pugnīs	pugnam	pugnās	pugnā	pugnīs	pugna	pugnae		
supplicium	kneeling, supplication, punishment, suffering	2	n	212	181	31	supplicium	supplicia	suppliciī	suppliciōrum	suppliciō	suppliciīs	supplicium	supplicia	suppliciō	suppliciīs	supplicium	supplicia		
classis	armed forces, fleet	3	f	210	127	83	classis	classēs	classis	classium	classī	classibus	classem	classēs/classīs	classe/classī	classibus	classis	classēs		
